10.19.119.95 - - [25/Aug/2026:10:29:09 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/8.5.0"
10.19.119.95 - - [25/Aug/2026:10:29:17 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:18 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 702 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/projects/6216af85882549cfa255da7946d6cc36 HTTP/1.1" 200 592 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:19 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "GET /identity/v3/users/bca4bbc14a0a4bf083585d5fbc8ee878 HTTP/1.1" 200 495 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "PUT /identity/v3/domains/default/users/bca4bbc14a0a4bf083585d5fbc8ee878/roles/b7be9f7c1de34350bd7163a681f8872a HTTP/1.1" 204 201 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.95 - - [25/Aug/2026:10:29:20 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 558 "-" "openstacksdk/4.18.0 keystoneauth1/5.15.0 python-requests/2.34.2 CPython/3.12.3"
