10.19.119.126 - - [03/Sep/2026:21:30:39 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/8.5.0"
10.19.119.126 - - [03/Sep/2026:21:30:47 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:47 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:47 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 704 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/projects/524344bb7655434688553feb9f43fb0a HTTP/1.1" 200 593 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:48 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity/v3/users/db598accb31f4016b18351e5c472772b HTTP/1.1" 200 496 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "PUT /identity/v3/domains/default/users/db598accb31f4016b18351e5c472772b/roles/eeb2d10a8a5f4691b636d225e5c4625a HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:49 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/users/db598accb31f4016b18351e5c472772b HTTP/1.1" 200 496 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/role_assignments?role.id=eeb2d10a8a5f4691b636d225e5c4625a&scope.domain.id=default&user.id=db598accb31f4016b18351e5c472772b HTTP/1.1" 200 782 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:50 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/roles HTTP/1.1" 201 479 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:51 +0000] "POST /identity/v3/roles HTTP/1.1" 201 477 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "POST /identity/v3/projects HTTP/1.1" 201 566 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "POST /identity/v3/projects HTTP/1.1" 201 552 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:52 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:53 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:53 +0000] "POST /identity/v3/users HTTP/1.1" 201 529 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:54 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:54 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:54 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:54 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:54 +0000] "GET /identity/v3/users/6f94bb55d3c5458b8feb5a5c1b810a02 HTTP/1.1" 200 524 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity/v3/projects/86e62c85d956435da6c770c6f3d62848 HTTP/1.1" 200 547 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "PUT /identity/v3/projects/86e62c85d956435da6c770c6f3d62848/users/6f94bb55d3c5458b8feb5a5c1b810a02/roles/a1c970d8a809444daeaf9c8fbd6e5492 HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity/v3/users/db598accb31f4016b18351e5c472772b HTTP/1.1" 200 496 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity/v3/projects/86e62c85d956435da6c770c6f3d62848 HTTP/1.1" 200 547 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "PUT /identity/v3/projects/86e62c85d956435da6c770c6f3d62848/users/db598accb31f4016b18351e5c472772b/roles/eeb2d10a8a5f4691b636d225e5c4625a HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:55 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity/v3/roles/anotherrole HTTP/1.1" 404 341 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity/v3/roles?name=anotherrole HTTP/1.1" 200 586 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity/v3/users/6f94bb55d3c5458b8feb5a5c1b810a02 HTTP/1.1" 200 524 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity/v3/projects/86e62c85d956435da6c770c6f3d62848 HTTP/1.1" 200 547 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "PUT /identity/v3/projects/86e62c85d956435da6c770c6f3d62848/users/6f94bb55d3c5458b8feb5a5c1b810a02/roles/0171f8f0a7f94ab58c0c4e0495d037cb HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.126 - - [03/Sep/2026:21:30:56 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
