10.19.119.90 - - [08/Sep/2026:14:05:52 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/8.5.0"
10.19.119.90 - - [08/Sep/2026:14:06:01 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:01 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:02 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1427 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "GET /identity/v3/projects/1d5ae98be0c34b1597ae96e26351f013 HTTP/1.1" 200 592 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:03 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:04 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:04 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:04 +0000] "GET /identity/v3/users/3b237479e3314e4a95c2753bfaea612a HTTP/1.1" 200 495 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:04 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:04 +0000] "PUT /identity/v3/domains/default/users/3b237479e3314e4a95c2753bfaea612a/roles/01c65ad7090e484d9ee932b5d09c6bfd HTTP/1.1" 204 201 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 558 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:05 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity/v3/users/3b237479e3314e4a95c2753bfaea612a HTTP/1.1" 200 495 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity/v3/role_assignments?role.id=01c65ad7090e484d9ee932b5d09c6bfd&scope.domain.id=default&user.id=3b237479e3314e4a95c2753bfaea612a HTTP/1.1" 200 780 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 558 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:06 +0000] "POST /identity/v3/projects HTTP/1.1" 201 554 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 593 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:07 +0000] "POST /identity/v3/roles HTTP/1.1" 201 478 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "POST /identity/v3/roles HTTP/1.1" 201 476 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "POST /identity/v3/projects HTTP/1.1" 201 565 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:08 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:09 +0000] "POST /identity/v3/projects HTTP/1.1" 201 551 "-" "python-keystoneclient"
10.19.119.90 - - [08/Sep/2026:14:06:09 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:09 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:09 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.90 - - [08/Sep/2026:14:06:09 +0000] "POST /identity/v3/users HTTP/1.1" 201 528 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
