udp   UNCONN 0      0              0.0.0.0:53125      0.0.0.0:*    users:(("rpc.mountd",pid=48321,fd=4))                                                      
udp   UNCONN 0      0        192.168.122.1:53         0.0.0.0:*    users:(("dnsmasq",pid=37349,fd=5))                                                         
udp   UNCONN 0      0            127.0.0.1:53         0.0.0.0:*    users:(("unbound",pid=673,fd=5))                                                           
udp   UNCONN 0      0           127.0.0.54:53         0.0.0.0:*    users:(("systemd-resolve",pid=351,fd=16))                                                  
udp   UNCONN 0      0        127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=351,fd=14))                                                  
udp   UNCONN 0      0                [::1]:53            [::]:*    users:(("unbound",pid=673,fd=3))                                                           
tcp   LISTEN 0      256          127.0.0.1:53         0.0.0.0:*    users:(("unbound",pid=673,fd=6))                                                           
tcp   LISTEN 0      4096        127.0.0.54:53         0.0.0.0:*    users:(("systemd-resolve",pid=351,fd=17))                                                  
tcp   LISTEN 0      4096     127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=351,fd=15))                                                  
tcp   LISTEN 0      32       192.168.122.1:53         0.0.0.0:*    users:(("dnsmasq",pid=37349,fd=6))                                                         
tcp   LISTEN 0      4096              [::]:53147         [::]:*    users:(("rpc.statd",pid=48309,fd=11))                                                      
tcp   LISTEN 0      256              [::1]:53            [::]:*    users:(("unbound",pid=673,fd=4))                                                           
